campaign_id,cell_key,pair_key,case_slug,mechanism_id,wording_condition,world_seed,model_id,profile_id,inference_seed,provider,requested_model,canonical_model,quantization,harness,reasoning_effort,max_output_tokens,timeout_seconds,max_action_attempts,sdk_retries,response_cache
datacenter_development_terms_public_mechanism_v1,assignment-consent-m02__mistral32_deepinfra__seed_315003,assignment_consent__mistral32_deepinfra__seed_315003,assignment-consent-m02,assignment_consent,affirm_only,450001,mistral32_deepinfra,datacenter_terms_mechanism_mistral32_deepinfra_v1,315003,DeepInfra,mistralai/mistral-small-3.2-24b-instruct,mistralai/mistral-small-3.2-24b-instruct-2506,fp8,minimal_chat/1.0,,900,180.0,1,0,False
datacenter_development_terms_public_mechanism_v1,assignment-consent-m02__qwen3_235b_novita__seed_315001,assignment_consent__qwen3_235b_novita__seed_315001,assignment-consent-m02,assignment_consent,affirm_only,450001,qwen3_235b_novita,datacenter_terms_mechanism_qwen3_235b_novita_v1,315001,Novita,qwen/qwen3-235b-a22b-2507,qwen/qwen3-235b-a22b-07-25,fp8,minimal_chat/1.0,,900,180.0,1,0,False
datacenter_development_terms_public_mechanism_v1,assignment-consent-m02__qwen3_235b_novita__seed_315002,assignment_consent__qwen3_235b_novita__seed_315002,assignment-consent-m02,assignment_consent,affirm_only,450001,qwen3_235b_novita,datacenter_terms_mechanism_qwen3_235b_novita_v1,315002,Novita,qwen/qwen3-235b-a22b-2507,qwen/qwen3-235b-a22b-07-25,fp8,minimal_chat/1.0,,900,180.0,1,0,False
datacenter_development_terms_public_mechanism_v1,assignment-consent-m02__qwen3_235b_novita__seed_315003,assignment_consent__qwen3_235b_novita__seed_315003,assignment-consent-m02,assignment_consent,affirm_only,450001,qwen3_235b_novita,datacenter_terms_mechanism_qwen3_235b_novita_v1,315003,Novita,qwen/qwen3-235b-a22b-2507,qwen/qwen3-235b-a22b-07-25,fp8,minimal_chat/1.0,,900,180.0,1,0,False
datacenter_development_terms_public_mechanism_v1,gmp-change-order-m01__gptoss120b_coreweave__seed_315001,gmp_change_order__gptoss120b_coreweave__seed_315001,gmp-change-order-m01,gmp_change_order,baseline,450003,gptoss120b_coreweave,datacenter_terms_mechanism_gptoss120b_coreweave_v1,315001,CoreWeave,openai/gpt-oss-120b,openai/gpt-oss-120b,fp4,minimal_chat/1.0,low,900,180.0,1,0,False
datacenter_development_terms_public_mechanism_v1,gmp-change-order-m01__gptoss120b_coreweave__seed_315002,gmp_change_order__gptoss120b_coreweave__seed_315002,gmp-change-order-m01,gmp_change_order,baseline,450003,gptoss120b_coreweave,datacenter_terms_mechanism_gptoss120b_coreweave_v1,315002,CoreWeave,openai/gpt-oss-120b,openai/gpt-oss-120b,fp4,minimal_chat/1.0,low,900,180.0,1,0,False
datacenter_development_terms_public_mechanism_v1,gmp-change-order-m01__gptoss120b_coreweave__seed_315003,gmp_change_order__gptoss120b_coreweave__seed_315003,gmp-change-order-m01,gmp_change_order,baseline,450003,gptoss120b_coreweave,datacenter_terms_mechanism_gptoss120b_coreweave_v1,315003,CoreWeave,openai/gpt-oss-120b,openai/gpt-oss-120b,fp4,minimal_chat/1.0,low,900,180.0,1,0,False
datacenter_development_terms_public_mechanism_v1,gmp-change-order-m01__mistral32_deepinfra__seed_315001,gmp_change_order__mistral32_deepinfra__seed_315001,gmp-change-order-m01,gmp_change_order,baseline,450003,mistral32_deepinfra,datacenter_terms_mechanism_mistral32_deepinfra_v1,315001,DeepInfra,mistralai/mistral-small-3.2-24b-instruct,mistralai/mistral-small-3.2-24b-instruct-2506,fp8,minimal_chat/1.0,,900,180.0,1,0,False
datacenter_development_terms_public_mechanism_v1,gmp-change-order-m01__mistral32_deepinfra__seed_315002,gmp_change_order__mistral32_deepinfra__seed_315002,gmp-change-order-m01,gmp_change_order,baseline,450003,mistral32_deepinfra,datacenter_terms_mechanism_mistral32_deepinfra_v1,315002,DeepInfra,mistralai/mistral-small-3.2-24b-instruct,mistralai/mistral-small-3.2-24b-instruct-2506,fp8,minimal_chat/1.0,,900,180.0,1,0,False
datacenter_development_terms_public_mechanism_v1,gmp-change-order-m01__mistral32_deepinfra__seed_315003,gmp_change_order__mistral32_deepinfra__seed_315003,gmp-change-order-m01,gmp_change_order,baseline,450003,mistral32_deepinfra,datacenter_terms_mechanism_mistral32_deepinfra_v1,315003,DeepInfra,mistralai/mistral-small-3.2-24b-instruct,mistralai/mistral-small-3.2-24b-instruct-2506,fp8,minimal_chat/1.0,,900,180.0,1,0,False
datacenter_development_terms_public_mechanism_v1,gmp-change-order-m01__qwen3_235b_novita__seed_315001,gmp_change_order__qwen3_235b_novita__seed_315001,gmp-change-order-m01,gmp_change_order,baseline,450003,qwen3_235b_novita,datacenter_terms_mechanism_qwen3_235b_novita_v1,315001,Novita,qwen/qwen3-235b-a22b-2507,qwen/qwen3-235b-a22b-07-25,fp8,minimal_chat/1.0,,900,180.0,1,0,False
datacenter_development_terms_public_mechanism_v1,gmp-change-order-m01__qwen3_235b_novita__seed_315002,gmp_change_order__qwen3_235b_novita__seed_315002,gmp-change-order-m01,gmp_change_order,baseline,450003,qwen3_235b_novita,datacenter_terms_mechanism_qwen3_235b_novita_v1,315002,Novita,qwen/qwen3-235b-a22b-2507,qwen/qwen3-235b-a22b-07-25,fp8,minimal_chat/1.0,,900,180.0,1,0,False
datacenter_development_terms_public_mechanism_v1,gmp-change-order-m01__qwen3_235b_novita__seed_315003,gmp_change_order__qwen3_235b_novita__seed_315003,gmp-change-order-m01,gmp_change_order,baseline,450003,qwen3_235b_novita,datacenter_terms_mechanism_qwen3_235b_novita_v1,315003,Novita,qwen/qwen3-235b-a22b-2507,qwen/qwen3-235b-a22b-07-25,fp8,minimal_chat/1.0,,900,180.0,1,0,False
